NoJI,Mesin,Tanggal SUP,,
6101 1D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5498 2D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4613 4J,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5294 1F,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5385 1F,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5297 2G,CERUTI.2                                          ,9/9/2021,,CERUTI.2
2840 6M,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4804 2F,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7916 0B,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7906 0A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
2223 4G,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7814 0A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
3799 8M,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7320A 0A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7448 1B,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6963 1D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6962 1D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4140 2G,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6475 0D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6474 0D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4174A 1E,CERUTI.2                                          ,9/9/2021,,CERUTI.2
2796 5E,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5723 0C,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7910 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7887 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7888 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7439 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7890 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7894 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7896 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7897 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7874 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7889 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7836 0B,HELIOSTAR 1                                       ,9/9/2021,,HELIOSTAR 1
7148 1C,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7790 1B,CERUTI.3                                          ,9/9/2021,,CERUTI.3
6757 1B,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7919 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
5931 0B,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7895 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7168A 1C,CERUTI.3                                          ,9/9/2021,,CERUTI.3
4320 1G,CERUTI.5,9/9/2021,,CERUTI.5
5906 1I,CERUTI.5,9/9/2021,,CERUTI.5
7201 1D,CERUTI.5,9/10/2021,,CERUTI.5
4525 0D,CERUTI.2                                          ,9/13/2021,,CERUTI.2
